15:23:33.450 [main] INFO  jepsen.cli - Test options:
 {:concurrency 5,
 :test-count 1,
 :time-limit 60,
 :nodes-file "/home/admin/nodes",
 :nodes ["w1" "w2" "w3" "w4" "w5"],
 :ssh
 {:username "admin",
  :password "root",
  :strict-host-key-checking false,
  :private-key-path nil}}

INFO [2016-12-13 15:23:34,178] jepsen node w2 - jepsen.os.debian w2 setting up debian
INFO [2016-12-13 15:23:34,178] jepsen node w4 - jepsen.os.debian w4 setting up debian
INFO [2016-12-13 15:23:34,179] jepsen node w5 - jepsen.os.debian w5 setting up debian
INFO [2016-12-13 15:23:34,178] jepsen node w3 - jepsen.os.debian w3 setting up debian
INFO [2016-12-13 15:23:34,179] jepsen node w1 - jepsen.os.debian w1 setting up debian
INFO [2016-12-13 15:23:34,894] jepsen node w4 - jepsen.zookeeper w4 tearing down ZK
INFO [2016-12-13 15:23:34,894] jepsen node w5 - jepsen.zookeeper w5 tearing down ZK
INFO [2016-12-13 15:23:34,894] jepsen node w3 - jepsen.zookeeper w3 tearing down ZK
INFO [2016-12-13 15:23:34,895] jepsen node w2 - jepsen.zookeeper w2 tearing down ZK
INFO [2016-12-13 15:23:34,895] jepsen node w1 - jepsen.zookeeper w1 tearing down ZK
INFO [2016-12-13 15:23:35,499] jepsen node w1 - jepsen.zookeeper Setting up ZK on  w1
INFO [2016-12-13 15:23:35,499] jepsen node w2 - jepsen.zookeeper Setting up ZK on  w2
INFO [2016-12-13 15:23:35,499] jepsen node w3 - jepsen.zookeeper Setting up ZK on  w3
INFO [2016-12-13 15:23:35,499] jepsen node w4 - jepsen.zookeeper Setting up ZK on  w4
INFO [2016-12-13 15:23:35,499] jepsen node w5 - jepsen.zookeeper Setting up ZK on  w5
INFO [2016-12-13 15:23:35,500] jepsen node w1 - jepsen.zookeeper w1 Installing ZK 3.4.5+dfsg-2
INFO [2016-12-13 15:23:35,500] jepsen node w2 - jepsen.zookeeper w2 Installing ZK 3.4.5+dfsg-2
INFO [2016-12-13 15:23:35,500] jepsen node w3 - jepsen.zookeeper w3 Installing ZK 3.4.5+dfsg-2
INFO [2016-12-13 15:23:35,500] jepsen node w4 - jepsen.zookeeper w4 Installing ZK 3.4.5+dfsg-2
INFO [2016-12-13 15:23:35,500] jepsen node w5 - jepsen.zookeeper w5 Installing ZK 3.4.5+dfsg-2
INFO [2016-12-13 15:23:35,808] jepsen node w3 - jepsen.zookeeper w3 id is 2
INFO [2016-12-13 15:23:35,808] jepsen node w2 - jepsen.zookeeper w2 id is 1
INFO [2016-12-13 15:23:35,807] jepsen node w4 - jepsen.zookeeper w4 id is 3
INFO [2016-12-13 15:23:35,807] jepsen node w5 - jepsen.zookeeper w5 id is 4
INFO [2016-12-13 15:23:35,808] jepsen node w1 - jepsen.zookeeper w1 id is 0
INFO [2016-12-13 15:23:36,014] jepsen node w4 - jepsen.zookeeper w4 ZK restarting
INFO [2016-12-13 15:23:36,014] jepsen node w2 - jepsen.zookeeper w2 ZK restarting
INFO [2016-12-13 15:23:36,014] jepsen node w1 - jepsen.zookeeper w1 ZK restarting
INFO [2016-12-13 15:23:36,016] jepsen node w3 - jepsen.zookeeper w3 ZK restarting
INFO [2016-12-13 15:23:36,016] jepsen node w5 - jepsen.zookeeper w5 ZK restarting
INFO [2016-12-13 15:23:36,116] jepsen node w2 - jepsen.zookeeper w2 ZK ready
INFO [2016-12-13 15:23:36,117] jepsen node w4 - jepsen.zookeeper w4 ZK ready
INFO [2016-12-13 15:23:36,117] jepsen node w1 - jepsen.zookeeper w1 ZK ready
INFO [2016-12-13 15:23:36,117] jepsen node w5 - jepsen.zookeeper w5 ZK ready
INFO [2016-12-13 15:23:36,118] jepsen node w3 - jepsen.zookeeper w3 ZK ready
INFO [2016-12-13 15:23:36,123] jepsen nemesis - jepsen.core Nemesis starting
INFO [2016-12-13 15:23:36,123] jepsen nemesis - jepsen.core nemesis done
INFO [2016-12-13 15:23:36,125] jepsen worker 0 - jepsen.core Worker 0 starting
INFO [2016-12-13 15:23:36,125] jepsen worker 2 - jepsen.core Worker 2 starting
INFO [2016-12-13 15:23:36,125] jepsen worker 3 - jepsen.core Worker 3 starting
INFO [2016-12-13 15:23:36,125] jepsen worker 1 - jepsen.core Worker 1 starting
INFO [2016-12-13 15:23:36,125] jepsen worker 4 - jepsen.core Worker 4 starting
INFO [2016-12-13 15:23:36,125] jepsen worker 0 - jepsen.core Worker 0 done
INFO [2016-12-13 15:23:36,125] jepsen worker 2 - jepsen.core Worker 2 done
INFO [2016-12-13 15:23:36,125] jepsen worker 3 - jepsen.core Worker 3 done
INFO [2016-12-13 15:23:36,128] jepsen worker 1 - jepsen.core Worker 1 done
INFO [2016-12-13 15:23:36,128] jepsen worker 4 - jepsen.core Worker 4 done
INFO [2016-12-13 15:23:36,129] jepsen test runner - jepsen.core Waiting for nemesis to complete
INFO [2016-12-13 15:23:36,129] jepsen test runner - jepsen.core nemesis done.
INFO [2016-12-13 15:23:36,129] jepsen test runner - jepsen.core Tearing down nemesis
INFO [2016-12-13 15:23:36,130] jepsen test runner - jepsen.core Nemesis torn down
INFO [2016-12-13 15:23:36,131] jepsen test runner - jepsen.core Run complete, writing
INFO [2016-12-13 15:23:36,149] jepsen node w4 - jepsen.zookeeper w4 tearing down ZK
INFO [2016-12-13 15:23:36,149] jepsen node w3 - jepsen.zookeeper w3 tearing down ZK
INFO [2016-12-13 15:23:36,149] jepsen node w5 - jepsen.zookeeper w5 tearing down ZK
INFO [2016-12-13 15:23:36,149] jepsen node w2 - jepsen.zookeeper w2 tearing down ZK
INFO [2016-12-13 15:23:36,149] jepsen node w1 - jepsen.zookeeper w1 tearing down ZK
INFO [2016-12-13 15:23:36,869] jepsen test runner - jepsen.core Analyzing
INFO [2016-12-13 15:23:36,879] jepsen test runner - jepsen.core Analysis complete
INFO [2016-12-13 15:23:36,890] jepsen results - jepsen.store Wrote /home/admin/jepsen.zookeeper/store/zookeeper/20161213T152333.000Z/results.edn
INFO [2016-12-13 15:23:36,897] main - jepsen.core {:valid? true,
 :configs ({:model {}, :last-op nil, :pending []}),
 :final-paths ()}


Everything looks good! ヽ(‘ー`)ノ
